@RELATION spam
@ATTRIBUTE avg_RTs REAL
@ATTRIBUTE avg_favs REAL
@ATTRIBUTE bigram_control REAL
@ATTRIBUTE favorites REAL
@ATTRIBUTE followers REAL
@ATTRIBUTE friends REAL
@ATTRIBUTE geo_enabled REAL
@ATTRIBUTE mentions REAL
@ATTRIBUTE num_RTs REAL
@ATTRIBUTE num_hapexes REAL
@ATTRIBUTE num_hashtags REAL
@ATTRIBUTE num_links REAL
@ATTRIBUTE pct_hapexes REAL
@ATTRIBUTE screen_name_len REAL
@ATTRIBUTE status_count REAL
@ATTRIBUTE time_diff REAL
@ATTRIBUTE unigram_nospam REAL
@ATTRIBUTE unigram_spam REAL
@ATTRIBUTE unigram_total REAL
@ATTRIBUTE unique_bigrams REAL
@ATTRIBUTE Spam {True, False}
@DATA
106.05,0.1,45.3789972005,306,1163,756,0,1,0,63,1,6,0.178977272727,13,58435,0,101.255058861,99.2072918623,101.663600396,0.889570552147, True
318.25,0.0,59.9555565277,55,88,556,0,2,0,45,30,14,0.111662531017,10,8519,1,101.38615668,102.865050475,103.072577546,0.845744680851, True
151.8,0.0,43.0494374149,85,852,2002,0,0,0,35,0,10,0.126811594203,15,420,2,80.6444425709,78.2317441309,79.7741786645,0.813492063492, True
5.8,4.5,43.9263216104,2,13800,92,0,0,0,60,20,20,0.176470588235,13,8170,3,98.2505686239,95.9337679912,98.0816672845,0.770700636943, True
21.4,0.15,77.0014582272,2054,6369,5952,0,0,0,88,41,15,0.174257425743,14,37907,0,151.65247467,148.486585267,152.431378616,0.823284823285, True
19.55,0.1,63.9888999634,10,94,294,0,2,0,44,19,11,0.110831234257,15,652,23,101.838245349,101.364267958,102.275786522,0.652291105121, True
269.15,0.0,46.0740041845,186,229,609,1,1,0,69,14,9,0.167070217918,12,3554,2,97.8371371624,95.419228966,97.7196137126,0.828125, True
7.0,0.0,98.159871146,0,7592,6194,0,1,1,58,76,12,0.106813996317,13,284769,0,171.133609833,166.307554608,169.861425379,0.641762452107, True
3.45,0.15,37.8186931475,1916,1289,239,1,1,0,63,13,9,0.193846153846,15,95804,2,92.1285817504,90.1975489239,92.5851683591,0.862416107383, True
0.15,0.15,48.2965008393,279,4926,1775,0,0,0,56,16,19,0.127853881279,12,3311,2,104.417396908,102.687620432,104.554223436,0.911547911548, True
